date_i,n_clouds,LCL_srf,z_cloudbase,dLCL_decoupling,z_inv_base,z_inv_top,sfc_inversion,top_inversion,qT_BL,qT_jump,qT_3km,thetaL_BL,thetaL_jump,thetaL_3km,BLwnd_dir_avg,BLwnd_spd_avg,dq_decoupling,dtheta_decoupling,wellmixed_dtv,decoupled_dtv,wellmixed_dLCL,decoupled_dLCL
06-Feb-2014 12:00:00,NaN,1405.56955932495,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
07-Feb-2014 00:00:00,NaN,1025.21490264162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
07-Feb-2014 12:00:00,NaN,1152.08305007558,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
08-Feb-2014 00:00:00,NaN,1144.67121599718,NaN,NaN,1274,1428,0,0,6.14358851674641,-3.26075397488748,2.88283454185893,290.489194577352,8.31185560767534,311.320073084453,328.198985399696,12.7098181818182,1.06001346209406,-4.03677026536923,0,0,0,0
08-Feb-2014 12:00:00,NaN,1646.61945367522,NaN,NaN,1944,2080,0,0,5.72688669438669,-4.47607988867868,1.25080680570801,300.204365904366,6.54390501066445,312.187450640789,297.026428238686,9.75023804573805,3.54838888405103,-4.43516131841341,0,0,0,0
09-Feb-2014 00:00:00,NaN,1390.70371724628,NaN,NaN,584,783,0,0,5.73632092198582,-2.47086099484556,3.26545992714026,288.122695035461,9.6719763946478,311.445386417719,81.0947972670257,14.5277907801418,NaN,NaN,0,0,0,0
09-Feb-2014 12:00:00,NaN,1771.31266053733,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
10-Feb-2014 00:00:00,NaN,1271.96485255415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
10-Feb-2014 12:00:00,NaN,1523.89530881934,NaN,NaN,551,811,0,0,9.43806967984934,-3.58031371167958,5.85775596816976,297.044161958569,6.72680556590853,312.902136759518,9.62403694183677,7.92198870056497,NaN,NaN,0,0,0,0
11-Feb-2014 00:00:00,NaN,1147.93916668057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
11-Feb-2014 12:00:00,NaN,2022.83815903418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
12-Feb-2014 00:00:00,NaN,1026.7692149666,NaN,NaN,454,936,0,0,10.3181221198157,0.441516750834365,10.75963887065,294.309562211982,8.53570485034135,311.611091884805,273.930048954321,7.45951382488479,NaN,NaN,0,0,0,0
12-Feb-2014 12:00:00,NaN,2062.98628864737,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
13-Feb-2014 00:00:00,NaN,1026.38056592861,NaN,NaN,570,735,0,0,10.3985,1.31682329988852,11.7153232998885,294.176545454545,4.39973562538108,313.71938931904,89.7221176480539,9.56133454545454,NaN,NaN,0,0,0,0
13-Feb-2014 12:00:00,NaN,1903.14339808389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
14-Feb-2014 00:00:00,NaN,1025.21490264162,NaN,NaN,239,627,0,0,9.72034246575343,-0.654008189468655,9.06633427628477,292.836301369863,7.97594590649817,308.509274619922,65.6873471678494,7.12206849315068,NaN,NaN,0,0,0,0
14-Feb-2014 12:00:00,NaN,1153.82929771054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
15-Feb-2014 00:00:00,NaN,901.001491682007,NaN,NaN,368,613,0,0,8.83008620689655,-2.71254386989401,6.11754233700254,293.96408045977,8.01467954060962,309.446217068133,331,0.220074712643678,NaN,NaN,0,0,0,0
15-Feb-2014 12:00:00,NaN,1402.11377649749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
16-Feb-2014 00:00:00,NaN,499.282917121217,NaN,NaN,444,765,0,0,10.34,-8.96453879544221,1.37546120455779,292.7,8.95730137537151,314.103942175212,9.30864476527503,3.341,NaN,NaN,0,0,0,0
